empleado_identificacion,valor_analogico,voltaje,alcohol_ppm,fecha
EMP003,100,0.49,0.0,2025-11-04 17:27:20
EMP069,110,0.54,8.5,2025-11-04 18:19:15
EMP024,126,0.62,22.1,2025-11-04 18:35:24
EMP060,287,1.4,158.95,2025-11-04 18:37:43
EMP011,122,0.6,18.7,2025-11-04 18:48:26
EMP074,129,0.63,24.65,2025-11-04 19:36:06
EMP056,107,0.52,5.95,2025-11-04 19:44:12
EMP041,179,0.87,67.15,2025-11-04 19:47:46
EMP010,164,0.8,54.4,2025-11-04 19:48:43
EMP068,123,0.6,19.55,2025-11-04 20:01:53
EMP018,159,0.78,50.15,2025-11-04 20:20:42
EMP053,178,0.87,66.3,2025-11-04 20:36:47
EMP051,179,0.87,67.15,2025-11-04 21:13:15
EMP047,169,0.83,58.65,2025-11-04 21:38:30
EMP072,143,0.7,36.55,2025-11-04 21:54:13
EMP058,155,0.76,46.75,2025-11-04 22:13:43
EMP036,278,1.36,151.3,2025-11-04 22:41:03
EMP039,142,0.69,35.7,2025-11-04 23:22:02
EMP004,175,0.86,63.75,2025-11-04 23:49:30
EMP061,191,0.93,77.35,2025-11-05 00:08:00
EMP024,180,0.88,68.0,2025-11-05 00:18:23
EMP011,164,0.8,54.4,2025-11-05 00:58:40
EMP060,115,0.56,12.75,2025-11-05 01:15:07
EMP040,113,0.55,11.05,2025-11-05 01:39:30
EMP037,101,0.49,0.85,2025-11-05 02:25:33
EMP065,150,0.73,42.5,2025-11-05 03:21:01
EMP056,171,0.84,60.35,2025-11-05 03:57:46
EMP046,136,0.66,30.6,2025-11-05 04:03:51
EMP017,135,0.66,29.75,2025-11-05 04:19:59
EMP002,110,0.54,8.5,2025-11-05 05:21:22
EMP053,148,0.72,40.8,2025-11-05 05:43:18
EMP018,116,0.57,13.6,2025-11-05 06:05:52
EMP020,160,0.78,51.0,2025-11-05 08:38:37
EMP027,127,0.62,22.95,2025-11-05 11:52:21
EMP006,105,0.51,4.25,2025-11-05 12:19:27
EMP050,502,2.45,341.7,2025-11-05 12:41:45
EMP050,147,0.72,39.95,2025-11-05 13:27:50
EMP064,152,0.74,44.2,2025-11-05 14:13:28
EMP054,149,0.73,41.65,2025-11-05 14:55:48
EMP022,156,0.76,47.6,2025-11-05 15:24:10
EMP005,151,0.74,43.35,2025-11-05 15:43:09
EMP067,132,0.65,27.2,2025-11-05 15:53:50
EMP020,168,0.82,57.8,2025-11-05 15:55:25
EMP061,228,1.11,108.8,2025-11-05 16:51:53
EMP061,146,0.71,39.1,2025-11-05 18:20:22
EMP054,191,0.93,77.35,2025-11-05 18:23:01
EMP065,125,0.61,21.25,2025-11-05 18:50:38
EMP075,133,0.65,28.05,2025-11-05 20:38:52
EMP058,170,0.83,59.5,2025-11-05 22:17:26
EMP065,123,0.6,19.55,2025-11-05 23:05:02
EMP048,102,0.5,1.7,2025-11-05 23:06:30
EMP052,101,0.49,0.85,2025-11-05 23:22:51
EMP039,293,1.43,164.05,2025-11-05 23:25:18
EMP049,215,1.05,97.75,2025-11-06 00:03:12
EMP055,159,0.78,50.15,2025-11-06 00:41:22
EMP047,176,0.86,64.6,2025-11-06 01:06:06
EMP020,123,0.6,19.55,2025-11-06 01:20:52
EMP022,139,0.68,33.15,2025-11-06 01:58:09
EMP048,177,0.87,65.45,2025-11-06 02:13:47
EMP011,297,1.45,167.45,2025-11-06 04:07:22
EMP075,125,0.61,21.25,2025-11-06 04:17:33
EMP029,141,0.69,34.85,2025-11-06 04:23:59
EMP036,174,0.85,62.9,2025-11-06 04:24:27
EMP053,170,0.83,59.5,2025-11-06 04:29:29
EMP043,164,0.8,54.4,2025-11-06 04:35:50
EMP057,127,0.62,22.95,2025-11-06 05:34:27
EMP031,163,0.8,53.55,2025-11-06 06:08:05
EMP018,142,0.69,35.7,2025-11-06 07:14:04
EMP055,103,0.5,2.55,2025-11-06 07:59:36
EMP003,107,0.52,5.95,2025-11-06 08:27:37
EMP042,105,0.51,4.25,2025-11-06 09:13:37
EMP035,135,0.66,29.75,2025-11-06 09:36:55
