empleado_identificacion,valor_analogico,voltaje,alcohol_ppm,fecha
EMP028,115,0.56,9.75,2025-11-04 10:41:41
EMP065,127,0.62,17.55,2025-11-04 10:42:04
EMP040,254,1.24,100.11,2025-11-04 10:43:07
EMP057,131,0.64,20.15,2025-11-04 10:43:59
EMP038,126,0.62,16.9,2025-11-04 10:44:19
EMP044,143,0.7,27.95,2025-11-04 10:44:47
EMP050,143,0.7,27.95,2025-11-04 10:44:53
EMP021,124,0.61,15.6,2025-11-04 10:44:55
EMP091,120,0.59,13.0,2025-11-04 10:45:01
EMP086,191,0.93,59.15,2025-11-04 10:45:19
EMP076,149,0.73,31.85,2025-11-04 10:45:45
EMP001,124,0.61,15.6,2025-11-04 10:45:53
EMP027,148,0.72,31.2,2025-11-04 10:45:59
EMP039,119,0.58,12.35,2025-11-04 10:46:00
EMP063,107,0.52,4.55,2025-11-04 10:46:06
EMP060,130,0.64,19.5,2025-11-04 10:46:17
EMP045,130,0.64,19.5,2025-11-04 10:46:47
EMP048,150,0.73,32.5,2025-11-04 10:47:23
EMP015,147,0.72,30.55,2025-11-04 10:47:25
EMP058,146,0.71,29.9,2025-11-04 10:47:52
EMP022,250,1.22,97.51,2025-11-04 10:48:57
EMP047,104,0.51,2.6,2025-11-04 10:49:08
EMP073,338,1.65,154.71,2025-11-04 10:49:18
EMP092,100,0.49,0.0,2025-11-04 10:49:31
EMP055,147,0.72,30.55,2025-11-04 10:49:31
EMP046,115,0.56,9.75,2025-11-04 10:50:34
EMP045,150,0.73,32.5,2025-11-04 10:51:23
EMP032,102,0.5,1.3,2025-11-04 10:51:31
EMP004,131,0.64,20.15,2025-11-04 10:51:39
EMP100,118,0.58,11.7,2025-11-04 10:51:53
EMP086,115,0.56,9.75,2025-11-04 10:52:26
EMP050,141,0.69,26.65,2025-11-04 10:54:00
EMP015,129,0.63,18.85,2025-11-04 10:54:30
EMP046,213,1.04,73.46,2025-11-04 10:55:02
EMP068,150,0.73,32.5,2025-11-04 10:55:32
EMP079,133,0.65,21.45,2025-11-04 10:55:44
EMP099,130,0.64,19.5,2025-11-04 10:56:06
EMP047,118,0.58,11.7,2025-11-04 10:56:18
EMP081,753,3.68,424.49,2025-11-04 10:56:47
EMP041,132,0.65,20.8,2025-11-04 10:57:12
EMP073,136,0.66,23.4,2025-11-04 10:57:38
EMP069,149,0.73,31.85,2025-11-04 10:59:11
EMP002,137,0.67,24.05,2025-11-04 10:59:36
EMP097,107,0.52,4.55,2025-11-04 11:00:16
EMP070,124,0.61,15.6,2025-11-04 11:00:37
EMP057,108,0.53,5.2,2025-11-04 11:01:16
EMP039,242,1.18,92.31,2025-11-04 11:01:52
EMP010,121,0.59,13.65,2025-11-04 11:02:26
EMP051,377,1.84,180.07,2025-11-04 11:02:48
EMP022,130,0.64,19.5,2025-11-04 11:03:33
EMP096,125,0.61,16.25,2025-11-04 11:03:56
EMP047,104,0.51,2.6,2025-11-04 11:04:51
EMP088,139,0.68,25.35,2025-11-04 11:05:08
EMP006,131,0.64,20.15,2025-11-04 11:05:30
EMP081,103,0.5,1.95,2025-11-04 11:06:03
EMP031,129,0.63,18.85,2025-11-04 11:06:33
EMP087,165,0.81,42.25,2025-11-04 11:06:42
EMP070,159,0.78,38.35,2025-11-04 11:06:45
EMP096,144,0.7,28.6,2025-11-04 11:06:57
EMP020,146,0.71,29.9,2025-11-04 11:07:48
EMP052,143,0.7,27.95,2025-11-04 11:08:32
EMP091,101,0.49,0.65,2025-11-04 11:09:01
EMP079,101,0.49,0.65,2025-11-04 11:09:13
EMP040,101,0.49,0.65,2025-11-04 11:09:41
EMP030,147,0.72,30.55,2025-11-04 11:10:12
EMP012,421,2.06,208.67,2025-11-04 11:10:27
EMP006,106,0.52,3.9,2025-11-04 11:10:53
EMP017,107,0.52,4.55,2025-11-04 11:10:56
EMP012,140,0.68,26.0,2025-11-04 11:11:05
EMP006,429,2.1,213.87,2025-11-04 11:12:39
EMP058,128,0.63,18.2,2025-11-04 11:12:54
EMP098,140,0.68,26.0,2025-11-04 11:13:08
EMP051,137,0.67,24.05,2025-11-04 11:13:19
EMP005,115,0.56,9.75,2025-11-04 11:13:21
EMP026,119,0.58,12.35,2025-11-04 11:13:28
EMP007,102,0.5,1.3,2025-11-04 11:14:09
EMP076,146,0.71,29.9,2025-11-04 11:14:12
EMP071,232,1.13,85.81,2025-11-04 11:14:37
EMP040,222,1.09,79.31,2025-11-04 11:15:47
EMP004,149,0.73,31.85,2025-11-04 11:16:09
EMP021,197,0.96,63.06,2025-11-04 11:16:25
EMP057,150,0.73,32.5,2025-11-04 11:16:43
EMP029,122,0.6,14.3,2025-11-04 11:16:54
EMP050,146,0.71,29.9,2025-11-04 11:16:59
EMP053,761,3.72,429.69,2025-11-04 11:17:49
EMP002,145,0.71,29.25,2025-11-04 11:18:15
EMP056,608,2.97,330.23,2025-11-04 11:19:00
EMP041,130,0.64,19.5,2025-11-04 11:19:01
EMP042,178,0.87,50.7,2025-11-04 11:19:26
EMP057,123,0.6,14.95,2025-11-04 11:19:40
EMP038,145,0.71,29.25,2025-11-04 11:19:51
EMP060,117,0.57,11.05,2025-11-04 11:20:10
EMP032,115,0.56,9.75,2025-11-04 11:21:30
EMP054,124,0.61,15.6,2025-11-04 11:22:32
EMP042,125,0.61,16.25,2025-11-04 11:23:31
EMP054,139,0.68,25.35,2025-11-04 11:23:38
EMP071,141,0.69,26.65,2025-11-04 11:23:45
EMP064,102,0.5,1.3,2025-11-04 11:23:49
EMP084,112,0.55,7.8,2025-11-04 11:24:33
EMP058,125,0.61,16.25,2025-11-04 11:24:54
EMP087,126,0.62,16.9,2025-11-04 11:25:19
EMP093,111,0.54,7.15,2025-11-04 11:25:53
EMP057,101,0.49,0.65,2025-11-04 11:26:35
EMP095,111,0.54,7.15,2025-11-04 11:26:37
EMP098,136,0.66,23.4,2025-11-04 11:26:58
EMP004,130,0.64,19.5,2025-11-04 11:27:06
EMP093,105,0.51,3.25,2025-11-04 11:27:45
EMP074,124,0.61,15.6,2025-11-04 11:28:24
EMP027,147,0.72,30.55,2025-11-04 11:28:41
EMP087,119,0.58,12.35,2025-11-04 11:28:41
EMP065,113,0.55,8.45,2025-11-04 11:28:42
EMP078,123,0.6,14.95,2025-11-04 11:29:22
EMP029,117,0.57,11.05,2025-11-04 11:29:24
EMP100,134,0.65,22.1,2025-11-04 11:29:30
EMP057,126,0.62,16.9,2025-11-04 11:29:49
EMP023,146,0.71,29.9,2025-11-04 11:30:20
EMP094,150,0.73,32.5,2025-11-04 11:31:52
EMP060,136,0.66,23.4,2025-11-04 11:32:19
EMP059,144,0.7,28.6,2025-11-04 11:32:22
EMP037,143,0.7,27.95,2025-11-04 11:32:29
EMP056,148,0.72,31.2,2025-11-04 11:32:32
EMP013,128,0.63,18.2,2025-11-04 11:33:15
EMP087,108,0.53,5.2,2025-11-04 11:33:25
EMP099,104,0.51,2.6,2025-11-04 11:33:46
EMP075,109,0.53,5.85,2025-11-04 11:34:21
EMP087,132,0.65,20.8,2025-11-04 11:34:30
EMP044,104,0.51,2.6,2025-11-04 11:34:42
EMP032,100,0.49,0.0,2025-11-04 11:35:35
EMP071,130,0.64,19.5,2025-11-04 11:35:52
EMP020,104,0.51,2.6,2025-11-04 11:36:03
EMP024,142,0.69,27.3,2025-11-04 11:36:10
EMP044,111,0.54,7.15,2025-11-04 11:36:54
EMP014,141,0.69,26.65,2025-11-04 11:37:03
EMP058,115,0.56,9.75,2025-11-04 11:37:09
EMP073,108,0.53,5.2,2025-11-04 11:37:09
EMP079,142,0.69,27.3,2025-11-04 11:37:44
EMP066,234,1.14,87.11,2025-11-04 11:38:22
EMP037,137,0.67,24.05,2025-11-04 11:38:25
EMP053,103,0.5,1.95,2025-11-04 11:38:36
EMP033,301,1.47,130.66,2025-11-04 11:39:30
EMP030,139,0.68,25.35,2025-11-04 11:39:34
EMP082,137,0.67,24.05,2025-11-04 11:39:48
EMP048,104,0.51,2.6,2025-11-04 11:40:22
EMP098,100,0.49,0.0,2025-11-04 11:40:57
EMP013,142,0.69,27.3,2025-11-04 11:41:01
